样本集,样本数,起始日期,结束日期,股票数,行业数
train_fit,111715,2003-06-30,2020-12-31,3808,82
valid,24966,2021-03-31,2022-12-31,4131,79
test,27454,2023-03-31,2024-12-31,4344,81
