样本集,样本数,起始日期,结束日期,股票数,行业数
train_fit,119618,2003-03-31,2020-12-31,3844,83
valid,26125,2021-03-31,2022-12-31,4303,79
test,28849,2023-03-31,2024-12-31,4507,82
