experiment,target,model,train_time_sec,n_train,n_valid,n_test,n_features,valid_MSE,valid_RMSE,valid_MAE,valid_R2,valid_Pearson,valid_Spearman,valid_Top20_Precision,valid_Top20_Recall,valid_Top20_F1,MSE,RMSE,MAE,R2,Pearson,Spearman,Top20_Precision,Top20_Recall,Top20_F1
experiment1_lead1_basic,Oscore,lightgbm,1.412236213684082,119618,26125,28849,100,1.7343412763173451,1.316943915403137,0.9118276373334474,0.32497303225933294,0.6168655625711237,0.6822624194043285,0.5205741626794258,0.5205741626794258,0.5205741626794258,1.7805631789607752,1.334377449959634,0.9718167864047783,0.25384573735046956,0.6115848901278969,0.6763919156817749,0.5395147313691507,0.5395147313691507,0.5395147313691507
experiment1_lead1_basic,Oscore,random_forest,11.54007887840271,119618,26125,28849,100,1.8669525668314084,1.366364726868858,0.9721137711320457,0.2733590860618689,0.598587433563788,0.639792130600319,0.483444976076555,0.483444976076555,0.483444976076555,1.9300865042781248,1.3892755321670804,1.0529645537685508,0.191187210054522,0.6085711999526104,0.6344878128020102,0.4977469670710572,0.4977469670710572,0.4977469670710572
experiment1_lead1_basic,Oscore,mlp_128_64,3.3571829795837402,119618,26125,28849,100,1.8308401067153468,1.3530854025948793,0.9878425590911815,0.28741449994301804,0.5853686939726985,0.580467572886019,0.4453588516746411,0.4453588516746411,0.4453588516746411,1.9092964303382367,1.38177293009316,1.0523962219994776,0.1998993986891877,0.5689446248996564,0.5629613379093072,0.44020797227036396,0.44020797227036396,0.44020797227036396
experiment1_lead1_basic,Oscore,ridge,0.01691603660583496,119618,26125,28849,100,2.2198204648314075,1.4899061932992317,1.0950954735131126,0.13601855772840254,0.4959327505851327,0.5053197279609565,0.391578947368421,0.391578947368421,0.391578947368421,2.3397087252859805,1.5296106449962947,1.1782457903043964,0.019532887482622607,0.4774637026903678,0.47082844671801716,0.3759098786828423,0.3759098786828423,0.3759098786828423
experiment1_lead1_basic,Oscore,linear,0.22422504425048828,119618,26125,28849,100,2.2207060180634013,1.4902033478902807,1.095339728253485,0.13567388951279336,0.49556361625968115,0.5052337532602259,0.39177033492822966,0.39177033492822966,0.39177033492822966,2.3401901713189335,1.5297680122551045,1.1783474262114777,0.019331135018026857,0.4772850116506424,0.4707206130266392,0.3759098786828423,0.3759098786828423,0.3759098786828423
experiment1_lead1_basic,Oscore,dummy_mean,0.0001468658447265625,119618,26125,28849,100,2.8613540446495844,1.6915537368495228,1.2418687580109744,-0.11367420632090353,,,0.18507177033492822,0.18507177033492822,0.18507177033492822,2.796719283641149,1.6723394642359992,1.2811267572433047,-0.17197976436923468,,,0.15961871750433276,0.15961871750433276,0.15961871750433276
