样本集,样本数,起始日期,结束日期,股票数,行业数
train_fit,114407,2003-06-30,2020-12-31,3906,84
valid,25750,2021-03-31,2022-12-31,4224,79
test,27798,2023-03-31,2024-12-31,4365,81
