target,model,source,RMSE,MAE,R2,Pearson,Spearman,Top20_Precision,Top20_Recall,Top20_F1
Zrisk,improved_256_128_64,neural_network,3.023214642495165,1.4947322607040403,0.7021074295043945,0.844747684069977,0.8670792117259913,0.709526982011992,0.709526982011992,0.709526982011992
Zrisk,lightgbm,sklearn,3.0353686827319586,1.6374792191596688,0.6997074231040545,0.8370500548935785,0.8468940875525699,0.6802131912058628,0.6802131912058628,0.6802131912058628
Zrisk,teacher,neural_network,3.0813519753068683,1.6653343439102173,0.6905401349067688,0.8313104968911627,0.8368799606994268,0.6643904063957362,0.6643904063957362,0.6643904063957362
Zrisk,improved_128_64,neural_network,3.1362246531575577,1.5438482761383057,0.6794202327728271,0.8316249481856149,0.8629118243311327,0.706528980679547,0.706528980679547,0.706528980679547
Zrisk,improved_64_32,neural_network,3.2497931194483547,1.5885522365570068,0.6557823419570923,0.8213905081273696,0.8570864188058166,0.6965356429047301,0.6965356429047301,0.6965356429047301
Zrisk,random_forest,sklearn,3.4201544844178446,1.845375105530317,0.6187471095869205,0.7875926405273458,0.8111784073786992,0.6442371752165224,0.6442371752165224,0.6442371752165224
Zrisk,linear,sklearn,3.838084089859307,2.2787182382101445,0.5198790353952107,0.7210302110558336,0.78098140024893,0.6140906062624917,0.6140906062624917,0.6140906062624917
Zrisk,ridge,sklearn,3.8380861294648,2.278177790823801,0.5198785251106031,0.7210293296302615,0.7810114932053638,0.6145902731512325,0.6145902731512325,0.6145902731512325
Zrisk,elasticnet,sklearn,3.8400155235096736,2.273388339613779,0.5193956926163732,0.7206923447700921,0.7808380459072485,0.6140906062624917,0.6140906062624917,0.6140906062624917
Zrisk,lasso,sklearn,3.840118976471476,2.273903562826327,0.5193697965706432,0.7206742448239101,0.7807130696121803,0.6145902731512325,0.6145902731512325,0.6145902731512325
Zrisk,dummy_mean,sklearn,5.539111245998004,3.393483543334553,-4.314417172190943e-06,2.7479524239504254e-17,,0.2000266524520255,1.0,0.3333703498056634
Zrisk,dummy_median,sklearn,5.81915884508013,2.9568070699363678,-0.1036773330763953,-2.7479524239504254e-17,,0.2000266524520255,1.0,0.3333703498056634
