target,model,source,RMSE,MAE,R2,Pearson,Spearman,Top20_Precision,Top20_Recall,Top20_F1
Oscore,lightgbm,sklearn,1.0048016393505768,0.7892375033498871,0.5814295931675674,0.7637441489627005,0.7427074177900808,0.5809422600070847,0.5809422600070847,0.5809422600070847
Oscore,improved_256_128_64,neural_network,1.0102942612167192,0.7878091931343079,0.5768409967422485,0.7595958729302078,0.7392029410177519,0.5766914629826426,0.5766914629826426,0.5766914629826426
Oscore,improved_128_64,neural_network,1.0579046843126738,0.8290780186653137,0.5360181927680969,0.7330276715088161,0.7107946519584922,0.5504782146652497,0.5504782146652497,0.5504782146652497
Oscore,teacher,neural_network,1.079165965095989,0.8495298624038696,0.5171810388565063,0.7196220268382985,0.6977463136050455,0.5430393198724761,0.5430393198724761,0.5430393198724761
Oscore,improved_64_32,neural_network,1.0851294166098029,0.8540741801261902,0.5118301510810852,0.7218173049117597,0.699095727395436,0.5425079702444209,0.5425079702444209,0.5425079702444209
Oscore,random_forest,sklearn,1.1369598323996777,0.8981305881913795,0.4640823086752422,0.6837355319488653,0.6596868286904961,0.5217853347502657,0.5217853347502657,0.5217853347502657
Oscore,linear,sklearn,1.2944924137056135,1.0257576241413549,0.3052846905091296,0.5525291492010694,0.5354910449735826,0.4089620970598654,0.4089620970598654,0.4089620970598654
Oscore,ridge,sklearn,1.2945223694597705,1.0257899665994583,0.3052525374248948,0.5524994109145308,0.5354343887364994,0.4087849805171803,0.4087849805171803,0.4087849805171803
Oscore,elasticnet,sklearn,1.2996103743320595,1.030492310692475,0.299780518832323,0.547596901668703,0.5298226272005542,0.4025859015232023,0.4025859015232023,0.4025859015232023
Oscore,lasso,sklearn,1.3023168508920122,1.0328900383297992,0.2968610269917349,0.5449412235373117,0.5268491475086338,0.4032943676939426,0.4032943676939426,0.4032943676939426
Oscore,dummy_mean,sklearn,1.5530886348725688,1.2413610653376588,-7.681811822202178e-07,4.871171606947552e-16,,0.2000070849126784,1.0,0.33334317343173425
Oscore,dummy_median,sklearn,1.555937871218829,1.239348967869921,-0.0036732592707036,,,0.2000070849126784,1.0,0.33334317343173425
